file,title,status
content/solutions/assembly.md,Custom Assembly Line Systems | Industrial Automation Integrator,Updated
content/solutions/bin-picking.md,Robotic Bin Picking Systems | AI Vision Integration | Industrial Automation,Updated
content/solutions/custom-automation.md,Custom Automation Equipment | Special Purpose Machine Builder,Updated
content/solutions/deburring.md,Automated Deburring Systems | Edge Finishing Automation | AMD Machines,Updated
content/solutions/dispensing.md,Automated Dispensing Systems | Adhesive & Sealant Application | AMD Machines,Updated
content/solutions/grinding-polishing.md,Automated Grinding & Polishing | Surface Finishing Automation | AMD Machines,Updated
content/solutions/laser-applications.md,Laser Processing Systems | Cutting,Updated
content/solutions/machine-tending.md,Robotic Machine Tending | CNC Automation | AMD Machines,Updated
content/solutions/machine-vision.md,Machine Vision Systems | Industrial Vision Inspection | AMD Machines,Updated
content/solutions/marking-traceability.md,Marking & Traceability Systems | Laser Marking & Barcodes | AMD Machines,Updated
content/solutions/material-handling.md,Material Handling Automation | Conveyors,Updated
content/solutions/packaging.md,Automated Packaging Systems | Cartoning & Case Packing | AMD Machines,Updated
content/solutions/palletizing.md,Robotic Palletizing | Automated Case Packing | AMD Machines,Updated
content/solutions/robotic-cells.md,Custom Robotic Cells | Industrial Automation Integrator | FANUC,Updated
content/solutions/screwdriving.md,Robotic Screwdriving | Automated Fastening Systems | AMD Machines,Updated
content/solutions/servo-pressing.md,Servo Press Integration & Custom Servo Press Machine Systems | AMD Machines,Updated
content/solutions/test-systems.md,Leak Detection & Test Systems | Industrial Automation Integrator,Updated
content/solutions/thermal-processing.md,Thermal Joining Systems | Ultrasonic & Hot Plate Welding | AMD Machines,Updated
content/solutions/welding.md,Robotic Welding Systems | MIG,Updating
content/industries/aerospace.md,Aerospace Manufacturing Automation | AS9100 Certified Solutions,Pending
content/industries/appliances.md,Appliance Manufacturing Automation | AMD Machines,Pending
content/industries/automotive.md,Automotive Manufacturing Automation | Tier 1, 2 & 3 Supplier Solutions,Pending
content/industries/consumer.md,Consumer Products Automation | High-Volume Assembly & Packaging Systems,Pending
content/industries/defense.md,Defense Industry Automation | Military Manufacturing | AMD Machines,Pending
content/industries/electronics.md,Electronics Manufacturing Automation | PCB Assembly & Test Systems,Pending
content/industries/energy.md,Energy Industry Automation | Solar, Wind, Battery Manufacturing | AMD Machines,Pending
content/industries/food-beverage.md,Food & Beverage Automation | Sanitary Packaging & Palletizing Systems,Pending
content/industries/general-manufacturing.md,General Manufacturing Automation | Custom Solutions | AMD Machines,Pending
content/industries/heavy-equipment.md,Heavy Equipment Manufacturing Automation | AMD Machines,Pending
content/industries/medical.md,Medical Device Manufacturing Automation | FDA & ISO 13485 Compliant,Pending
content/industries/pharmaceutical.md,Pharmaceutical Manufacturing Automation | AMD Machines,Pending
content/services/consulting.md,Automation Consulting Services | Manufacturing Assessment | AMD Machines,Pending
content/services/digital-twins.md,Digital Twins & Simulation | Virtual Commissioning | AMD Machines,Pending
content/services/maintenance-support.md,Automation Maintenance & Support | 24/7 Service | AMD Machines,Pending
content/services/process-optimization.md,Process Optimization Services | Manufacturing Efficiency | AMD Machines,Pending
content/services/robot-programming.md,Robot Programming Services | Online & Offline Programming | AMD Machines,Pending
content/services/spare-parts.md,Automation Spare Parts | OEM Robot Parts & Components | AMD Machines,Pending
content/services/training.md,Automation Training Services | Robot & PLC Training | AMD Machines,Pending
content/services/upgrades-retrofits.md,Automation Upgrades & Retrofits | Robot Refurbishment | AMD Machines,Pending
